1973-01-01 00:00:00+01	AC	14
1975-01-01 00:00:00+01	AI	1229
1975-01-01 00:00:00+01	AL	546
1975-01-01 00:00:00+01	AN	123
1975-01-01 00:00:00+01	AO	16432
1975-01-01 00:00:00+01	AQ	200
1975-01-01 00:00:00+01	AR	5146
1975-01-01 00:00:00+01	AS	4
1975-01-01 00:00:00+01	AT	34971
1975-01-01 00:00:00+01	AU	28329
1975-01-01 00:00:00+01	AW	116
1975-01-01 00:00:00+01	AX	1
1975-01-01 00:00:00+01	BB	3964
1975-01-01 00:00:00+01	BD	11841
1975-01-01 00:00:00+01	BE	46923
1975-01-01 00:00:00+01	BF	2267
1975-01-01 00:00:00+01	BG	11087
1975-01-01 00:00:00+01	BH	7669
1975-01-01 00:00:00+01	BI	2904
1975-01-01 00:00:00+01	BJ	3128
1975-01-01 00:00:00+01	BL	172
1975-01-01 00:00:00+01	BM	1642
1975-01-01 00:00:00+01	BN	412
1975-01-01 00:00:00+01	BO	2472
1975-01-01 00:00:00+01	BR	25379
1975-01-01 00:00:00+01	BS	5348
1975-01-01 00:00:00+01	BT	153
1975-01-01 00:00:00+01	BV	1
1975-01-01 00:00:00+01	BW	5457
1975-01-01 00:00:00+01	BZ	3680
1975-01-01 00:00:00+01	CA	36107
1975-01-01 00:00:00+01	CC	10
1975-01-01 00:00:00+01	CD	11418
1975-01-01 00:00:00+01	CF	2748
1975-01-01 00:00:00+01	CG	1671
1975-01-01 00:00:00+01	CH	83373
1975-01-01 00:00:00+01	CI	9188
1975-01-01 00:00:00+01	CK	52
1975-01-01 00:00:00+01	CL	18985
1975-01-01 00:00:00+01	CM	6199
1975-01-01 00:00:00+01	CN	29269
1975-01-01 00:00:00+01	CO	18200
1975-01-01 00:00:00+01	CR	4642
1975-01-01 00:00:00+01	CS	9168
1975-01-01 00:00:00+01	CU	6404
1975-01-01 00:00:00+01	CV	716
1975-01-01 00:00:00+01	CW	8
1975-01-01 00:00:00+01	CX	6
1975-01-01 00:00:00+01	CY	17775
1975-01-01 00:00:00+01	DD	19872
1975-01-01 00:00:00+01	DE	27456
1975-01-01 00:00:00+01	DJ	273
1975-01-01 00:00:00+01	DK	15584
1975-01-01 00:00:00+01	DM	193
1975-01-01 00:00:00+01	DO	11773
1975-01-01 00:00:00+01	DZ	15638
1975-01-01 00:00:00+01	EC	18713
1975-01-01 00:00:00+01	EG	54977
1975-01-01 00:00:00+01	ES	33509
1975-01-01 00:00:00+01	ET	9760
1975-01-01 00:00:00+01	EU	148
1975-01-01 00:00:00+01	FI	12638
1975-01-01 00:00:00+01	FJ	3812
1975-01-01 00:00:00+01	FK	822
1975-01-01 00:00:00+01	FM	583
1975-01-01 00:00:00+01	FO	16
1975-01-01 00:00:00+01	FR	114575
1975-01-01 00:00:00+01	GA	5214
1975-01-01 00:00:00+01	GB	113904
1975-01-01 00:00:00+01	GD	1721
1975-01-01 00:00:00+01	GF	206
1975-01-01 00:00:00+01	GH	9725
1975-01-01 00:00:00+01	GI	189
1975-01-01 00:00:00+01	GL	372
1975-01-01 00:00:00+01	GM	2336
1975-01-01 00:00:00+01	GN	5149
1975-01-01 00:00:00+01	GP	48
1975-01-01 00:00:00+01	GQ	75
1975-01-01 00:00:00+01	GR	34953
1975-01-01 00:00:00+01	GT	8711
1975-01-01 00:00:00+01	GU	5491
1975-01-01 00:00:00+01	GW	682
1975-01-01 00:00:00+01	GY	2025
1975-01-01 00:00:00+01	HK	21464
1975-01-01 00:00:00+01	HN	5835
1975-01-01 00:00:00+01	HT	1380
1975-01-01 00:00:00+01	HU	14013
1975-01-01 00:00:00+01	ID	43513
1975-01-01 00:00:00+01	IE	11464
1975-01-01 00:00:00+01	IL	31110
1975-01-01 00:00:00+01	IM	1200
1975-01-01 00:00:00+01	IN	21847
1975-01-01 00:00:00+01	IQ	11608
1975-01-01 00:00:00+01	IR	35961
1975-01-01 00:00:00+01	IS	5755
1975-01-01 00:00:00+01	IT	14568
1975-01-01 00:00:00+01	JM	2263
1975-01-01 00:00:00+01	JO	20521
1975-01-01 00:00:00+01	JP	72844
1975-01-01 00:00:00+01	KE	14256
1975-01-01 00:00:00+01	KH	7461
1975-01-01 00:00:00+01	KI	10
1975-01-01 00:00:00+01	KM	258
1975-01-01 00:00:00+01	KN	22
1975-01-01 00:00:00+01	KP	3208
1975-01-01 00:00:00+01	KR	21427
1975-01-01 00:00:00+01	KW	19104
1975-01-01 00:00:00+01	KY	3070
1975-01-01 00:00:00+01	LA	13637
1975-01-01 00:00:00+01	LB	41365
1975-01-01 00:00:00+01	LC	15
1975-01-01 00:00:00+01	LI	134
1975-01-01 00:00:00+01	LK	6617
1975-01-01 00:00:00+01	LR	4492
1975-01-01 00:00:00+01	LS	3392
1975-01-01 00:00:00+01	LU	8073
1975-01-01 00:00:00+01	LY	2535
1975-01-01 00:00:00+01	MA	15147
1975-01-01 00:00:00+01	MC	160
1975-01-01 00:00:00+01	MF	1
1975-01-01 00:00:00+01	MG	3655
1975-01-01 00:00:00+01	MH	58
1975-01-01 00:00:00+01	ML	6095
1975-01-01 00:00:00+01	MM	5396
1975-01-01 00:00:00+01	MN	512
1975-01-01 00:00:00+01	MO	349
1975-01-01 00:00:00+01	MP	1131
1975-01-01 00:00:00+01	MQ	1281
1975-01-01 00:00:00+01	MR	5514
1975-01-01 00:00:00+01	MS	86
1975-01-01 00:00:00+01	MT	2606
1975-01-01 00:00:00+01	MU	782
1975-01-01 00:00:00+01	MV	253
1975-01-01 00:00:00+01	MW	2722
1975-01-01 00:00:00+01	MX	28696
1975-01-01 00:00:00+01	MY	3036
1975-01-01 00:00:00+01	MZ	3453
1975-01-01 00:00:00+01	NC	106
1975-01-01 00:00:00+01	NE	5050
1975-01-01 00:00:00+01	NF	4642
1975-01-01 00:00:00+01	NG	23255
1975-01-01 00:00:00+01	NI	5831
1975-01-01 00:00:00+01	NL	8021
1975-01-01 00:00:00+01	NO	16602
1975-01-01 00:00:00+01	NP	5963
1975-01-01 00:00:00+01	NR	126
1975-01-01 00:00:00+01	NU	17
1975-01-01 00:00:00+01	NZ	4393
1975-01-01 00:00:00+01	OM	6107
1975-01-01 00:00:00+01	PA	21324
1975-01-01 00:00:00+01	PE	24257
1975-01-01 00:00:00+01	PF	65
1975-01-01 00:00:00+01	PG	142
1975-01-01 00:00:00+01	PH	45932
1975-01-01 00:00:00+01	PK	23420
1975-01-01 00:00:00+01	PL	29295
1975-01-01 00:00:00+01	PR	2359
1975-01-01 00:00:00+01	PS	410
1975-01-01 00:00:00+01	PT	38715
1975-01-01 00:00:00+01	PW	182
1975-01-01 00:00:00+01	PY	4093
1975-01-01 00:00:00+01	QA	7564
1975-01-01 00:00:00+01	RE	241
1975-01-01 00:00:00+01	RO	19867
1975-01-01 00:00:00+01	RW	2137
1975-01-01 00:00:00+01	SA	29938
1975-01-01 00:00:00+01	SB	153
1975-01-01 00:00:00+01	SC	1197
1975-01-01 00:00:00+01	SD	7746
1975-01-01 00:00:00+01	SE	18985
1975-01-01 00:00:00+01	SG	13082
1975-01-01 00:00:00+01	SH	15
1975-01-01 00:00:00+01	SJ	8
1975-01-01 00:00:00+01	SL	3241
1975-01-01 00:00:00+01	SM	143
1975-01-01 00:00:00+01	SN	11845
1975-01-01 00:00:00+01	SO	6284
1975-01-01 00:00:00+01	SR	1132
1975-01-01 00:00:00+01	ST	323
1975-01-01 00:00:00+01	SU	74580
1975-01-01 00:00:00+01	SV	6254
1975-01-01 00:00:00+01	SX	1
1975-01-01 00:00:00+01	SY	24378
1975-01-01 00:00:00+01	SZ	3236
1975-01-01 00:00:00+01	TD	3306
1975-01-01 00:00:00+01	TG	43613
1975-01-01 00:00:00+01	TH	40381
1975-01-01 00:00:00+01	TK	46
1975-01-01 00:00:00+01	TN	10029
1975-01-01 00:00:00+01	TO	445
1975-01-01 00:00:00+01	TR	38393
1975-01-01 00:00:00+01	TT	623
1975-01-01 00:00:00+01	TV	22
1975-01-01 00:00:00+01	TW	19580
1975-01-01 00:00:00+01	TZ	3206
1975-01-01 00:00:00+01	UG	2574
1975-01-01 00:00:00+01	US	94377
1975-01-01 00:00:00+01	UY	5705
1975-01-01 00:00:00+01	VA	1005
1975-01-01 00:00:00+01	VC	12
1975-01-01 00:00:00+01	VE	18972
1975-01-01 00:00:00+01	VG	45
1975-01-01 00:00:00+01	VN	7941
1975-01-01 00:00:00+01	VS	18087
1975-01-01 00:00:00+01	VU	145
1975-01-01 00:00:00+01	WS	579
1975-01-01 00:00:00+01	YD	407
1975-01-01 00:00:00+01	YE	6793
1975-01-01 00:00:00+01	YT	80
1975-01-01 00:00:00+01	YU	19950
1975-01-01 00:00:00+01	ZA	24910
1975-01-01 00:00:00+01	ZM	10648
1975-01-01 00:00:00+01	ZW	856
1976-01-01 00:00:00+01	AC	42
1976-01-01 00:00:00+01	AD	12
1976-01-01 00:00:00+01	AE	1205
1976-01-01 00:00:00+01	AF	9696
1976-01-01 00:00:00+01	AG	2
1976-01-01 00:00:00+01	AI	1099
1976-01-01 00:00:00+01	AL	830
1976-01-01 00:00:00+01	AN	131
1976-01-01 00:00:00+01	AO	15377
1976-01-01 00:00:00+01	AQ	125
1976-01-01 00:00:00+01	AR	5576
1976-01-01 00:00:00+01	AS	2
1976-01-01 00:00:00+01	AT	27835
1976-01-01 00:00:00+01	AU	22350
1976-01-01 00:00:00+01	AW	87
1976-01-01 00:00:00+01	BB	4462
1976-01-01 00:00:00+01	BD	10214
1976-01-01 00:00:00+01	BE	44956
1976-01-01 00:00:00+01	BF	2046
1976-01-01 00:00:00+01	BG	10856
1976-01-01 00:00:00+01	BH	8250
1976-01-01 00:00:00+01	BI	2991
1976-01-01 00:00:00+01	BJ	4253
1976-01-01 00:00:00+01	BL	133
1976-01-01 00:00:00+01	BM	2141
1976-01-01 00:00:00+01	BN	297
1976-01-01 00:00:00+01	BO	2749
1976-01-01 00:00:00+01	BR	29151
1976-01-01 00:00:00+01	BS	5050
1976-01-01 00:00:00+01	BT	146
1976-01-01 00:00:00+01	BV	1
1976-01-01 00:00:00+01	BW	7033
1976-01-01 00:00:00+01	BZ	2551
1976-01-01 00:00:00+01	CA	40201
1976-01-01 00:00:00+01	CC	4
1976-01-01 00:00:00+01	CD	11575
1976-01-01 00:00:00+01	CF	3606
1976-01-01 00:00:00+01	CG	1310
1976-01-01 00:00:00+01	CH	70821
1976-01-01 00:00:00+01	CI	9612
1976-01-01 00:00:00+01	CK	123
1976-01-01 00:00:00+01	CL	17117
1976-01-01 00:00:00+01	CM	7147
1976-01-01 00:00:00+01	CN	24860
1976-01-01 00:00:00+01	CO	17344
1976-01-01 00:00:00+01	CR	4462
1976-01-01 00:00:00+01	CS	10131
1976-01-01 00:00:00+01	CU	5870
1976-01-01 00:00:00+01	CV	643
1976-01-01 00:00:00+01	CW	4
1976-01-01 00:00:00+01	CX	12
1976-01-01 00:00:00+01	CY	13792
1976-01-01 00:00:00+01	DD	23472
1976-01-01 00:00:00+01	DE	29868
1976-01-01 00:00:00+01	DJ	1181
1976-01-01 00:00:00+01	DK	13588
1976-01-01 00:00:00+01	DM	99
1976-01-01 00:00:00+01	DO	11289
1976-01-01 00:00:00+01	DZ	15161
1976-01-01 00:00:00+01	EC	16090
1976-01-01 00:00:00+01	EG	57605
1976-01-01 00:00:00+01	ES	33076
1976-01-01 00:00:00+01	ET	7200
1976-01-01 00:00:00+01	EU	112
1976-01-01 00:00:00+01	FI	9164
1976-01-01 00:00:00+01	FJ	3350
1976-01-01 00:00:00+01	FK	1056
1976-01-01 00:00:00+01	FM	469
1976-01-01 00:00:00+01	FO	14
1976-01-01 00:00:00+01	FR	101825
1976-01-01 00:00:00+01	GA	5184
1976-01-01 00:00:00+01	GB	99088
1976-01-01 00:00:00+01	GD	2564
1976-01-01 00:00:00+01	GF	216
1976-01-01 00:00:00+01	GH	11618
1976-01-01 00:00:00+01	GI	264
1976-01-01 00:00:00+01	GL	384
1976-01-01 00:00:00+01	GM	2351
1976-01-01 00:00:00+01	GN	6049
1976-01-01 00:00:00+01	GP	184
1976-01-01 00:00:00+01	GQ	135
1976-01-01 00:00:00+01	GR	33062
1976-01-01 00:00:00+01	GT	8807
1976-01-01 00:00:00+01	GU	2562
1976-01-01 00:00:00+01	GW	1267
1976-01-01 00:00:00+01	GY	3070
1976-01-01 00:00:00+01	HK	17500
1976-01-01 00:00:00+01	HN	6540
1976-01-01 00:00:00+01	HT	1371
1976-01-01 00:00:00+01	HU	12609
1976-01-01 00:00:00+01	ID	38224
1976-01-01 00:00:00+01	IE	9507
1976-01-01 00:00:00+01	IL	25504
1976-01-01 00:00:00+01	IM	1371
1976-01-01 00:00:00+01	IN	21168
1976-01-01 00:00:00+01	IQ	11148
1976-01-01 00:00:00+01	IR	33939
1976-01-01 00:00:00+01	IS	5499
1976-01-01 00:00:00+01	IT	18200
1976-01-01 00:00:00+01	JM	3224
1976-01-01 00:00:00+01	JO	20241
1976-01-01 00:00:00+01	JP	64691
1976-01-01 00:00:00+01	KE	26877
1976-01-01 00:00:00+01	KH	1491
1976-01-01 00:00:00+01	KI	16
1976-01-01 00:00:00+01	KM	528
1976-01-01 00:00:00+01	KN	16
1976-01-01 00:00:00+01	KP	2492
1976-01-01 00:00:00+01	KR	16642
1976-01-01 00:00:00+01	KW	16542
1976-01-01 00:00:00+01	KY	3843
1976-01-01 00:00:00+01	LA	12204
1976-01-01 00:00:00+01	LB	42043
1976-01-01 00:00:00+01	LC	17
1976-01-01 00:00:00+01	LI	84
1976-01-01 00:00:00+01	LK	12315
1976-01-01 00:00:00+01	LR	5812
1976-01-01 00:00:00+01	LS	4531
1976-01-01 00:00:00+01	LU	7651
1976-01-01 00:00:00+01	LY	3786
1976-01-01 00:00:00+01	MA	16196
1976-01-01 00:00:00+01	MC	237
1976-01-01 00:00:00+01	MF	1
1976-01-01 00:00:00+01	MG	2983
1976-01-01 00:00:00+01	MH	173
1976-01-01 00:00:00+01	ML	4724
1976-01-01 00:00:00+01	MM	4525
1976-01-01 00:00:00+01	MN	363
1976-01-01 00:00:00+01	MO	154
1976-01-01 00:00:00+01	MP	940
1976-01-01 00:00:00+01	MQ	1318
1976-01-01 00:00:00+01	MR	5931
1976-01-01 00:00:00+01	MS	80
1976-01-01 00:00:00+01	MT	3104
1976-01-01 00:00:00+01	MU	1030
1976-01-01 00:00:00+01	MV	258
1976-01-01 00:00:00+01	MW	2032
1976-01-01 00:00:00+01	MX	28861
1976-01-01 00:00:00+01	MY	2969
1976-01-01 00:00:00+01	MZ	10712
1976-01-01 00:00:00+01	NC	67
1976-01-01 00:00:00+01	NE	4179
1976-01-01 00:00:00+01	NF	5537
1976-01-01 00:00:00+01	NG	28532
1976-01-01 00:00:00+01	NI	5914
1976-01-01 00:00:00+01	NL	6404
1976-01-01 00:00:00+01	NO	17525
1976-01-01 00:00:00+01	NP	4425
1976-01-01 00:00:00+01	NR	230
1976-01-01 00:00:00+01	NU	33
1976-01-01 00:00:00+01	NZ	4796
1976-01-01 00:00:00+01	OM	5817
1976-01-01 00:00:00+01	PA	21604
1976-01-01 00:00:00+01	PE	21114
1976-01-01 00:00:00+01	PF	58
1976-01-01 00:00:00+01	PG	110
1976-01-01 00:00:00+01	PH	44130
1976-01-01 00:00:00+01	PK	24715
1976-01-01 00:00:00+01	PL	25669
1976-01-01 00:00:00+01	PN	2
1976-01-01 00:00:00+01	PR	4553
1976-01-01 00:00:00+01	PS	775
1976-01-01 00:00:00+01	PT	25869
1976-01-01 00:00:00+01	PW	192
1976-01-01 00:00:00+01	PY	3813
1976-01-01 00:00:00+01	QA	6907
1976-01-01 00:00:00+01	RE	236
1976-01-01 00:00:00+01	RO	17628
1976-01-01 00:00:00+01	RW	2231
1976-01-01 00:00:00+01	SA	28428
1976-01-01 00:00:00+01	SB	186
1976-01-01 00:00:00+01	SC	1987
1976-01-01 00:00:00+01	SD	10013
1976-01-01 00:00:00+01	SE	17347
1976-01-01 00:00:00+01	SG	13169
1976-01-01 00:00:00+01	SH	8
1976-01-01 00:00:00+01	SJ	28
1976-01-01 00:00:00+01	SL	3908
1976-01-01 00:00:00+01	SM	201
1976-01-01 00:00:00+01	SN	13366
1976-01-01 00:00:00+01	SO	4563
1976-01-01 00:00:00+01	SR	1845
1976-01-01 00:00:00+01	ST	272
1976-01-01 00:00:00+01	SU	72489
1976-01-01 00:00:00+01	SV	6184
1976-01-01 00:00:00+01	SX	4
1976-01-01 00:00:00+01	SY	31281
1976-01-01 00:00:00+01	SZ	3435
1976-01-01 00:00:00+01	TD	2725
1976-01-01 00:00:00+01	TG	45116
1976-01-01 00:00:00+01	TH	38811
1976-01-01 00:00:00+01	TK	41
1976-01-01 00:00:00+01	TN	11523
1976-01-01 00:00:00+01	TO	551
1976-01-01 00:00:00+01	TR	34180
1976-01-01 00:00:00+01	TT	738
1976-01-01 00:00:00+01	TV	31
1976-01-01 00:00:00+01	TW	16649
1976-01-01 00:00:00+01	TZ	3380
1976-01-01 00:00:00+01	UG	3834
1976-01-01 00:00:00+01	US	92613
1976-01-01 00:00:00+01	UY	6813
1976-01-01 00:00:00+01	VA	1040
1976-01-01 00:00:00+01	VC	6
1976-01-01 00:00:00+01	VE	18420
1976-01-01 00:00:00+01	VG	70
1976-01-01 00:00:00+01	VN	3491
1976-01-01 00:00:00+01	VS	1383
1976-01-01 00:00:00+01	VU	97
1976-01-01 00:00:00+01	WS	899
1976-01-01 00:00:00+01	YD	244
1976-01-01 00:00:00+01	YE	6726
1976-01-01 00:00:00+01	YT	307
1976-01-01 00:00:00+01	YU	21462
1976-01-01 00:00:00+01	ZA	36350
1976-01-01 00:00:00+01	ZM	18227
1976-01-01 00:00:00+01	ZW	3581
